cliente,data_venda,genero,produto,preco,quantidade,total,tempo_entrega,cidade
Ana clara,2023-07-01,,Teclado,120.0,2,,0:00:11,Rio de janeiro
Ana clara,2023-12-23,Masculino,Notebook,50.0,1,360,,Curitiba
Maria souza,2024-05-04,Masculino,Mouse,3500.0,3,360,02:50:13,Rio de janeiro
João silva,2024-09-20,Masculino,Monitor,50.0,1,1200,,Porto alegre
Pedro alves,0024-04-04,Masculino,Cadeira,1200.0,2,120,0:02:30,São paulo
Ana clara,0024-07-10,,Notebook,50.0,3,120,01:11:11,Porto alegre
João silva,2023-05-11,,Teclado,800.0,0,150,,Porto alegre
Pedro alves,2023-08-06,,Cadeira,3500.0,0,369,,São paulo
Pedro alves,0023-08-27,,Teclado,50.0,0,7000,,Belo horizonte
Pedro alves,0024-11-21,Masculino,Monitor,50.0,2,2400,0:02:54,Curitiba
Ana clara,2023-05-01,Masculino,Teclado,800.0,3,2400,00:57:17,Curitiba
Maria souza,0023-11-07,,Cadeira,800.0,3,10500,02:48:10,Belo horizonte
Ana clara,2024-03-25,,Mouse,120.0,0,150,,São paulo
João silva,2023-12-04,,Monitor,3500.0,2,1600,0:01:35,São paulo
Pedro alves,2024-09-13,Masculino,Notebook,50.0,3,,01:15:02,Belo horizonte
Ana clara,0024-09-18,Masculino,Teclado,120.0,1,10500,,Belo horizonte
Maria souza,2023-07-20,,Teclado,3500.0,3,7000,02:19:02,Rio de janeiro
Pedro alves,2023-12-25,,Mouse,3500.0,0,150,,Belo horizonte
Carlos lima,0023-06-03,,Monitor,1200.0,0,240,,Porto alegre
João silva,0024-10-06,Masculino,Cadeira,50.0,1,800,,Curitiba
João silva,2024-06-07,Masculino,Notebook,1200.0,1,1600,,Curitiba
Pedro alves,2024-06-05,Masculino,Cadeira,120.0,0,50,,Belo horizonte
Ana clara,2023-07-10,,Mouse,1200.0,2,1171,0:03:15,Belo horizonte
João silva,0024-08-15,,Teclado,120.0,1,7000,,São paulo
Carlos lima,2023-09-01,Masculino,Teclado,800.0,0,,,Belo horizonte
Pedro alves,2023-11-10,,Teclado,800.0,1,50,,Belo horizonte
João silva,2023-08-21,,Mouse,1200.0,3,2400,00:49:29,Belo horizonte
João silva,0024-03-01,,Mouse,3500.0,3,3500,01:36:43,São paulo
João silva,2023-01-10,Masculino,Mouse,50.0,1,,,Porto alegre
João silva,2023-05-02,,Monitor,1200.0,0,240,,Rio de janeiro
Carlos lima,2023-02-02,,Monitor,800.0,3,120,00:41:24,Porto alegre
Carlos lima,0023-05-02,,Teclado,800.0,3,240,02:54:36,Porto alegre
João silva,2024-07-18,Masculino,Cadeira,50.0,2,,0:01:51,São paulo
Maria souza,2023-09-26,,Teclado,800.0,1,800,,São paulo
João silva,2023-10-28,Masculino,Teclado,50.0,2,197,0:02:57,São paulo
Carlos lima,0023-02-22,,Mouse,1200.0,2,50,0:00:20,Porto alegre
Ana clara,0024-04-12,,Notebook,1200.0,0,7000,,São paulo
Ana clara,2024-08-04,Masculino,Mouse,3500.0,3,,01:26:29,Porto alegre
Ana clara,2024-07-02,,Mouse,1200.0,1,360,,Rio de janeiro
Ana clara,2024-11-21,Masculino,Cadeira,3500.0,0,100,,Belo horizonte
Ana clara,0023-02-25,,Notebook,120.0,1,800,,São paulo
Ana clara,2023-03-22,,Monitor,50.0,3,7000,01:26:12,São paulo
Pedro alves,2024-01-04,,Notebook,1200.0,3,,00:30:50,Porto alegre
Maria souza,2023-10-24,Masculino,Cadeira,1200.0,0,2400,,Curitiba
Ana clara,0024-08-07,,Notebook,120.0,0,1200,,Belo horizonte
João silva,2024-02-11,,Notebook,50.0,1,74,,Porto alegre
Pedro alves,2024-04-03,,Notebook,3500.0,0,2400,,Rio de janeiro
Pedro alves,2024-01-06,,Cadeira,1200.0,1,10500,,Rio de janeiro
Carlos lima,2024-05-22,Masculino,Cadeira,3500.0,2,100,0:00:44,Belo horizonte
Maria souza,2023-12-26,Masculino,Cadeira,50.0,0,2400,,Belo horizonte
Carlos lima,2023-06-16,,Notebook,800.0,1,3600,,Rio de janeiro
Carlos lima,0024-11-28,,Teclado,800.0,0,10500,,Curitiba
João silva,2023-11-04,,Teclado,800.0,0,3600,,Rio de janeiro
João silva,2023-04-26,,Cadeira,50.0,0,120,,Belo horizonte
Maria souza,2024-07-04,,Notebook,120.0,0,,,São paulo
Pedro alves,2023-11-26,Masculino,Monitor,1200.0,1,,,Rio de janeiro
Maria souza,0023-10-02,,Teclado,50.0,1,,,Porto alegre
Maria souza,2023-01-14,,Mouse,1200.0,0,240,,Belo horizonte
João silva,2024-05-25,,Mouse,120.0,2,813,0:01:32,Porto alegre
Maria souza,2023-06-10,,Notebook,50.0,2,1171,0:00:32,São paulo
Maria souza,2024-01-13,,Monitor,120.0,2,1200,0:02:28,Porto alegre
Carlos lima,2023-08-09,Masculino,Monitor,50.0,2,,0:03:26,Porto alegre
Pedro alves,2024-11-24,Masculino,Cadeira,120.0,3,,00:01:01,Curitiba
Maria souza,0023-09-20,Masculino,Monitor,120.0,1,800,,Porto alegre
Carlos lima,0023-12-09,Masculino,Cadeira,50.0,0,1200,,São paulo
Pedro alves,2024-02-17,,Cadeira,3500.0,2,,0:02:25,São paulo
Maria souza,0024-02-21,,Notebook,3500.0,0,3500,,Belo horizonte
Maria souza,2023-11-04,,Notebook,3500.0,1,,,Curitiba
Pedro alves,2024-12-12,Masculino,Notebook,50.0,2,,0:03:20,Porto alegre
Carlos lima,2024-09-15,,Mouse,3500.0,2,360,0:02:36,Belo horizonte
Carlos lima,0023-04-23,,Monitor,120.0,2,343,0:02:05,Rio de janeiro
João silva,2023-11-16,,Teclado,120.0,3,2400,01:06:54,São paulo
Ana clara,2023-11-05,,Mouse,120.0,2,10500,0:02:30,Curitiba
Maria souza,0023-10-27,Masculino,Teclado,50.0,1,10500,,Belo horizonte
Carlos lima,2023-12-17,,Teclado,800.0,0,,,Belo horizonte
Maria souza,0023-07-13,Masculino,Notebook,1200.0,2,120,0:03:33,Curitiba
Maria souza,0023-10-17,Masculino,Mouse,1200.0,3,1600,01:39:10,São paulo
Maria souza,2024-04-08,,Mouse,800.0,1,2366,,Rio de janeiro
Ana clara,2024-01-09,Masculino,Cadeira,3500.0,2,240,0:01:44,Curitiba
Carlos lima,0023-01-04,,Cadeira,1200.0,0,360,,Belo horizonte
João silva,0024-06-17,Masculino,Cadeira,120.0,2,10500,0:03:37,Rio de janeiro
Ana clara,2023-11-16,Masculino,Monitor,120.0,2,1600,0:00:51,Belo horizonte
Maria souza,2024-05-05,Masculino,Mouse,800.0,3,100,00:09:45,São paulo
Carlos lima,0023-01-27,,Teclado,1200.0,1,800,,Belo horizonte
João silva,2024-06-03,,Notebook,120.0,3,2400,00:47:07,Porto alegre
João silva,2024-08-23,Masculino,Monitor,3500.0,3,150,02:30:49,Belo horizonte
João silva,0024-09-16,Masculino,Cadeira,50.0,3,,01:32:04,Porto alegre
João silva,0023-01-09,,Teclado,1200.0,2,150,0:00:47,Belo horizonte
Carlos lima,2024-06-15,,Notebook,800.0,2,,0:01:02,São paulo
Carlos lima,2024-05-02,,Notebook,800.0,1,3500,,Belo horizonte
Maria souza,0024-06-10,Masculino,Teclado,50.0,2,,0:00:20,Porto alegre
Carlos lima,2024-08-19,,Cadeira,120.0,0,,,Porto alegre
Carlos lima,2024-12-19,Masculino,Teclado,120.0,0,,,Belo horizonte
Maria souza,2024-06-02,Masculino,Mouse,3500.0,3,,00:38:00,São paulo
Maria souza,2024-09-16,,Notebook,50.0,3,1600,00:53:59,Porto alegre
João silva,0024-01-23,,Notebook,1200.0,0,7000,,Curitiba
João silva,2023-06-24,Masculino,Notebook,1200.0,3,100,00:09:38,Belo horizonte
Maria souza,0023-04-05,Masculino,Cadeira,50.0,1,10500,,Curitiba
Maria souza,2024-03-18,Masculino,Notebook,50.0,3,3600,02:59:27,Belo horizonte
Ana clara,2024-06-09,Masculino,Mouse,120.0,0,3600,,Belo horizonte
Pedro alves,2023-02-06,Masculino,Mouse,800.0,2,2400,0:02:03,São paulo
Pedro alves,0024-05-25,Masculino,Teclado,1200.0,1,1200,,Belo horizonte
Ana clara,2023-09-26,,Notebook,50.0,0,90,,Curitiba
Ana clara,0023-02-12,Masculino,Notebook,800.0,0,100,,Rio de janeiro
Ana clara,2023-03-25,,Cadeira,120.0,1,,,São paulo
Ana clara,2023-06-12,Masculino,Mouse,800.0,2,,0:01:25,Belo horizonte
Pedro alves,0024-09-08,Masculino,Teclado,800.0,2,240,0:01:28,Curitiba
Pedro alves,0024-01-11,Masculino,Cadeira,800.0,3,340,00:50:24,São paulo
João silva,2024-06-13,,Mouse,800.0,0,360,,Curitiba
João silva,0024-01-02,,Teclado,3500.0,1,360,,Rio de janeiro
João silva,2023-09-02,Masculino,Notebook,800.0,0,1600,,Porto alegre
Maria souza,0023-01-13,Masculino,Mouse,120.0,3,100,00:46:11,Belo horizonte
Maria souza,2024-03-25,,Cadeira,3500.0,0,1600,,Belo horizonte
Carlos lima,0024-03-18,,Mouse,800.0,0,50,,Curitiba
João silva,2024-09-25,Masculino,Cadeira,120.0,0,50,,Curitiba
Pedro alves,0024-02-13,,Cadeira,120.0,0,,,Curitiba
João silva,2024-06-10,Masculino,Notebook,50.0,0,2400,,São paulo
Ana clara,0024-02-10,,Teclado,50.0,1,,,Belo horizonte
Ana clara,2024-09-06,,Mouse,120.0,2,,0:03:47,São paulo
Carlos lima,2023-10-08,Masculino,Cadeira,3500.0,1,2400,,Porto alegre
Carlos lima,2024-05-28,,Cadeira,3500.0,1,120,,Curitiba
Pedro alves,2023-09-01,Masculino,Notebook,800.0,1,58,,Rio de janeiro
João silva,2023-08-24,,Teclado,50.0,0,360,,Belo horizonte
Carlos lima,2023-12-12,,Monitor,3500.0,1,100,,São paulo
Maria souza,2024-08-27,Masculino,Teclado,3500.0,2,150,0:00:53,Rio de janeiro
João silva,2024-04-03,,Teclado,800.0,1,150,,São paulo
Carlos lima,2023-12-20,,Teclado,800.0,0,10500,,Porto alegre
Carlos lima,2024-07-09,Masculino,Notebook,120.0,0,10506,,Belo horizonte
Ana clara,2024-01-17,,Teclado,120.0,0,3500,,Rio de janeiro
João silva,0023-12-13,Masculino,Mouse,120.0,3,3600,01:04:02,Belo horizonte
Maria souza,0023-04-06,Masculino,Mouse,800.0,1,2400,,São paulo
Carlos lima,0023-06-15,Masculino,Mouse,1200.0,2,2400,0:01:43,Curitiba
Carlos lima,2023-10-27,,Monitor,120.0,0,,,São paulo
João silva,0024-08-15,Masculino,Cadeira,1200.0,1,2400,,Rio de janeiro
João silva,0024-03-25,,Mouse,3500.0,1,3520,,Belo horizonte
João silva,2023-06-09,Masculino,Notebook,1200.0,2,7000,0:03:03,Rio de janeiro
Pedro alves,2024-09-11,,Monitor,120.0,3,,01:12:56,Porto alegre
Ana clara,2023-08-08,Masculino,Cadeira,1200.0,0,3500,,Rio de janeiro
Maria souza,2024-08-06,,Notebook,3500.0,0,1600,,Belo horizonte
Maria souza,2024-06-12,Masculino,Mouse,3500.0,1,,,Curitiba
Pedro alves,2023-06-13,,Mouse,50.0,2,10476,0:02:50,São paulo
Pedro alves,2024-11-12,Masculino,Cadeira,1200.0,1,813,,Curitiba
Ana clara,2024-06-02,,Mouse,3500.0,1,50,,Porto alegre
Maria souza,0023-06-24,,Cadeira,120.0,3,,00:46:05,Curitiba
Ana clara,2023-12-19,,Monitor,3500.0,3,150,01:11:11,Porto alegre
Pedro alves,2024-09-27,,Cadeira,800.0,0,,,São paulo
João silva,2023-08-09,,Cadeira,120.0,3,7000,00:00:54,São paulo
João silva,2024-09-23,Masculino,Monitor,120.0,1,2415,,Belo horizonte
Carlos lima,2023-10-19,,Monitor,3500.0,0,3481,,Porto alegre
Carlos lima,0023-02-25,,Monitor,50.0,1,240,,Curitiba
Carlos lima,2023-10-10,,Monitor,50.0,1,2400,,São paulo
Ana clara,2024-12-20,Masculino,Cadeira,3500.0,3,10500,02:13:42,Belo horizonte
Ana clara,2024-03-06,,Mouse,1200.0,0,271,,São paulo
Pedro alves,2023-02-23,,Mouse,800.0,0,100,,Rio de janeiro
João silva,2024-09-20,,Notebook,120.0,3,100,00:32:16,Rio de janeiro
Carlos lima,2024-01-07,,Cadeira,120.0,3,7049,02:10:10,Curitiba
Carlos lima,2024-08-03,,Cadeira,120.0,0,1200,,São paulo
Carlos lima,0023-01-24,,Cadeira,120.0,2,50,0:03:03,São paulo
Pedro alves,2023-04-15,Masculino,Cadeira,800.0,1,,,Belo horizonte
Carlos lima,0023-02-03,,Teclado,800.0,3,3600,00:04:02,Rio de janeiro
Carlos lima,2024-02-19,,Cadeira,120.0,1,,,Rio de janeiro
Carlos lima,2024-10-07,,Mouse,120.0,0,2400,,Belo horizonte
Ana clara,2024-11-13,Masculino,Mouse,50.0,1,3567,,Curitiba
Ana clara,2024-01-05,Masculino,Cadeira,120.0,2,3461,0:01:25,Curitiba
Ana clara,2023-11-12,,Cadeira,50.0,3,,00:32:24,Rio de janeiro
Carlos lima,2023-03-24,Masculino,Notebook,50.0,3,100,02:57:27,Porto alegre
Ana clara,0024-01-12,,Monitor,3500.0,3,,02:04:31,Curitiba
Ana clara,2024-04-10,Masculino,Mouse,120.0,3,120,01:17:54,São paulo
João silva,2024-03-19,Masculino,Mouse,3500.0,2,1600,0:00:49,São paulo
Ana clara,2023-12-01,,Cadeira,800.0,3,50,00:19:27,Porto alegre
João silva,2024-12-28,Masculino,Mouse,120.0,0,,,Porto alegre
Ana clara,0024-11-12,Masculino,Cadeira,50.0,2,132,0:01:10,Belo horizonte
Ana clara,2024-06-06,Masculino,Cadeira,3500.0,0,7000,,Curitiba
João silva,2023-02-05,,Cadeira,3500.0,2,1600,0:03:39,Porto alegre
Maria souza,2023-01-23,,Teclado,120.0,1,357,,Porto alegre
Maria souza,2023-01-07,Masculino,Monitor,3500.0,0,,,Rio de janeiro
Ana clara,2024-06-21,,Cadeira,50.0,1,50,,Porto alegre
Maria souza,0024-07-22,,Mouse,120.0,2,1200,0:02:09,Curitiba
Pedro alves,0023-12-19,,Notebook,120.0,3,,02:09:22,Curitiba
Carlos lima,0024-11-07,Masculino,Teclado,120.0,0,2400,,Belo horizonte
Pedro alves,2024-03-15,,Cadeira,1200.0,0,240,,Rio de janeiro
Pedro alves,2024-04-07,,Notebook,1200.0,0,800,,Porto alegre
Maria souza,2023-12-02,Masculino,Mouse,50.0,1,392,,Belo horizonte
Maria souza,0023-04-12,Masculino,Monitor,120.0,3,100,01:13:02,São paulo
Carlos lima,2023-03-27,,Monitor,120.0,3,2400,01:54:46,Curitiba
Carlos lima,2023-12-23,,Teclado,800.0,1,3500,,Porto alegre
Carlos lima,0023-02-01,,Notebook,3500.0,2,10500,0:00:46,Curitiba
João silva,0024-07-18,Masculino,Mouse,1200.0,1,1600,,São paulo
Maria souza,2024-05-07,Masculino,Mouse,120.0,0,100,,Curitiba
Carlos lima,0023-12-22,,Teclado,120.0,0,1600,,São paulo
Carlos lima,0023-02-09,,Teclado,120.0,2,10500,0:02:20,Belo horizonte
Ana clara,2024-11-07,Masculino,Mouse,120.0,0,7025,,Belo horizonte
Pedro alves,2023-11-02,Masculino,Mouse,50.0,2,3490,0:03:08,Curitiba
Maria souza,2024-09-06,Masculino,Teclado,1200.0,1,100,,Porto alegre
Maria souza,2024-02-14,Masculino,Notebook,800.0,3,150,00:45:23,Rio de janeiro
Ana clara,2023-10-21,Masculino,Mouse,800.0,1,10506,,São paulo
Ana clara,2023-03-26,,Mouse,1200.0,2,240,0:02:29,Curitiba
Ana clara,0023-07-05,,Teclado,1200.0,1,2400,,Belo horizonte
Maria souza,2023-01-14,Masculino,Mouse,1200.0,3,7000,00:44:22,Belo horizonte
Ana clara,2024-08-28,,Teclado,50.0,1,98,,Curitiba
Pedro alves,2024-07-03,,Notebook,3500.0,2,100,0:00:17,Porto alegre
João silva,0024-10-13,Masculino,Notebook,120.0,3,240,02:32:03,Belo horizonte
Maria souza,2023-02-27,Masculino,Monitor,800.0,3,120,02:09:14,Belo horizonte
Ana clara,2023-01-17,,Cadeira,50.0,1,100,,Curitiba
Ana clara,2023-10-11,,Cadeira,50.0,3,,02:18:34,Belo horizonte
Carlos lima,2023-05-22,Masculino,Mouse,3500.0,2,10500,0:01:50,Porto alegre
Ana clara,2023-09-26,Masculino,Monitor,3500.0,3,240,02:39:40,Rio de janeiro
Maria souza,2023-01-18,Masculino,Teclado,3500.0,3,3487,02:06:31,Belo horizonte
Pedro alves,2023-02-21,Masculino,Cadeira,1200.0,0,800,,Porto alegre
Pedro alves,2024-03-27,,Notebook,800.0,1,192,,Porto alegre
Maria souza,2024-05-26,Masculino,Notebook,800.0,3,2357,02:58:27,Rio de janeiro
Carlos lima,0024-05-08,,Cadeira,50.0,3,3612,01:38:15,Belo horizonte
Pedro alves,0023-06-26,,Teclado,50.0,2,800,0:00:39,Rio de janeiro
Maria souza,2023-08-04,,Cadeira,1200.0,1,50,,Curitiba
Ana clara,0024-05-03,Masculino,Notebook,3500.0,2,,0:00:51,Curitiba
Carlos lima,2024-12-12,Masculino,Cadeira,1200.0,3,1600,02:28:24,Porto alegre
João silva,2024-08-25,,Mouse,1200.0,0,2400,,Porto alegre
Maria souza,2024-01-02,,Teclado,50.0,3,6987,00:48:47,Rio de janeiro
Carlos lima,2024-07-08,Masculino,Cadeira,3500.0,2,800,0:01:18,Rio de janeiro
Pedro alves,2024-10-20,,Mouse,800.0,3,3500,00:53:12,Curitiba
João silva,2024-05-07,Masculino,Notebook,3500.0,0,800,,São paulo
João silva,2023-04-15,,Notebook,800.0,2,,0:01:50,Curitiba
Ana clara,2024-02-10,Masculino,Mouse,1200.0,0,2400,,Belo horizonte
Maria souza,2024-08-24,,Notebook,1200.0,3,1600,01:20:32,São paulo
Carlos lima,2024-08-15,Masculino,Teclado,1200.0,0,1600,,Belo horizonte
Carlos lima,2024-08-15,,Mouse,1200.0,2,10500,0:01:19,Curitiba
Maria souza,2024-04-19,Masculino,Notebook,800.0,3,2400,00:30:40,São paulo
Ana clara,0023-09-16,,Monitor,50.0,1,,,Rio de janeiro
Pedro alves,2024-01-17,Masculino,Monitor,3500.0,2,850,0:01:18,Curitiba
João silva,2023-11-04,,Mouse,120.0,2,201,0:01:56,Rio de janeiro
João silva,2023-07-22,Masculino,Notebook,1200.0,2,3595,0:03:16,Rio de janeiro
Ana clara,2023-10-27,,Cadeira,800.0,0,360,,Porto alegre
Ana clara,2024-12-27,Masculino,Mouse,800.0,0,2400,,Belo horizonte
Ana clara,2023-11-16,Masculino,Cadeira,800.0,2,3500,0:02:55,São paulo
Ana clara,2023-08-08,Masculino,Monitor,50.0,0,100,,Porto alegre
Carlos lima,0023-02-24,Masculino,Teclado,3500.0,0,7000,,Rio de janeiro
Maria souza,0024-06-14,Masculino,Mouse,1200.0,0,73,,Curitiba
Maria souza,2024-01-12,Masculino,Cadeira,50.0,2,3600,0:00:25,Belo horizonte
Pedro alves,0024-05-10,,Cadeira,3500.0,2,,0:03:06,Rio de janeiro
João silva,2024-04-25,,Notebook,800.0,1,7017,,Curitiba
João silva,2023-09-21,,Cadeira,50.0,2,,0:02:25,São paulo
Carlos lima,2024-09-09,,Cadeira,1200.0,3,,00:00:08,Curitiba
Carlos lima,2023-12-11,,Teclado,800.0,1,67,,Rio de janeiro
Maria souza,2023-07-27,,Mouse,120.0,2,100,0:02:29,Belo horizonte
Pedro alves,2024-08-09,Masculino,Notebook,800.0,1,800,,Belo horizonte
Carlos lima,2023-05-11,Masculino,Notebook,50.0,1,,,Belo horizonte
João silva,2023-04-25,,Mouse,800.0,3,,01:24:04,Porto alegre
Ana clara,0023-03-21,Masculino,Notebook,120.0,1,7000,,São paulo
Ana clara,2024-06-15,Masculino,Teclado,120.0,0,50,,São paulo
Maria souza,2023-10-23,,Mouse,800.0,2,240,0:00:36,Rio de janeiro
Maria souza,0024-03-15,Masculino,Notebook,1200.0,2,800,0:01:00,Rio de janeiro
Maria souza,2023-08-27,,Monitor,3500.0,1,7000,,Curitiba
Ana clara,2024-11-28,,Cadeira,800.0,0,,,Porto alegre
Maria souza,2023-07-10,,Cadeira,3500.0,1,2400,,Curitiba
Carlos lima,2023-12-25,,Monitor,800.0,1,10500,,Rio de janeiro
Ana clara,2024-06-14,Masculino,Cadeira,3500.0,3,,00:09:33,Curitiba
Ana clara,2023-10-02,,Notebook,800.0,3,360,01:22:25,Belo horizonte
Ana clara,2024-03-18,,Notebook,1200.0,2,410,0:02:43,Curitiba
Maria souza,0023-01-12,,Teclado,3500.0,1,100,,São paulo
Ana clara,2023-12-17,Masculino,Cadeira,50.0,2,100,0:02:52,São paulo
Ana clara,2024-05-24,,Mouse,50.0,2,240,0:01:10,Porto alegre
Ana clara,2023-04-23,,Monitor,120.0,1,3600,,Belo horizonte
Ana clara,0024-04-26,Masculino,Mouse,1200.0,2,360,0:02:30,Belo horizonte
Ana clara,2024-01-11,Masculino,Cadeira,1200.0,3,3600,02:04:12,Curitiba
João silva,2023-07-01,Masculino,Cadeira,50.0,1,240,,Belo horizonte
João silva,2024-03-17,,Notebook,1200.0,1,240,,São paulo
João silva,2024-12-27,,Notebook,120.0,0,,,Rio de janeiro
Carlos lima,2023-12-10,Masculino,Monitor,1200.0,1,50,,Rio de janeiro
Carlos lima,0023-10-10,,Notebook,800.0,0,3500,,Porto alegre
Maria souza,2024-03-24,,Teclado,3500.0,3,360,00:29:58,Belo horizonte
Ana clara,2023-04-08,,Mouse,1200.0,0,2442,,Rio de janeiro
Ana clara,2024-06-27,,Monitor,120.0,1,1576,,Belo horizonte
Pedro alves,2023-08-20,Masculino,Mouse,120.0,0,76,,São paulo
Ana clara,0024-04-21,Masculino,Notebook,3500.0,0,1600,,Belo horizonte
Pedro alves,2024-02-22,Masculino,Teclado,50.0,3,150,01:55:01,Belo horizonte
Maria souza,0023-02-25,Masculino,Notebook,1200.0,0,2400,,São paulo
Maria souza,0023-05-10,,Teclado,50.0,1,240,,Belo horizonte
Carlos lima,2023-12-05,,Teclado,3500.0,1,275,,Belo horizonte
Carlos lima,2023-09-03,Masculino,Teclado,3500.0,3,,00:51:32,São paulo
Carlos lima,2023-12-04,,Notebook,120.0,1,3500,,Rio de janeiro
Pedro alves,2023-12-22,Masculino,Monitor,800.0,0,360,,Porto alegre
Pedro alves,2024-02-12,,Monitor,1200.0,0,2400,,Porto alegre
Pedro alves,2024-12-03,,Notebook,120.0,0,800,,Belo horizonte
Ana clara,2023-08-26,,Teclado,800.0,1,3500,,São paulo
Maria souza,2023-05-22,Masculino,Notebook,1200.0,0,194,,Porto alegre
Ana clara,2023-05-14,Masculino,Notebook,50.0,3,240,01:08:44,São paulo
Maria souza,2024-10-15,,Mouse,50.0,1,50,,Porto alegre
João silva,2023-02-22,,Cadeira,120.0,0,7000,,Curitiba
Ana clara,2024-05-17,,Mouse,800.0,2,7000,0:00:55,Rio de janeiro
João silva,0024-09-04,Masculino,Mouse,120.0,0,,,Rio de janeiro
Pedro alves,0024-05-04,Masculino,Teclado,1200.0,1,,,Porto alegre
Ana clara,2023-04-21,,Cadeira,1200.0,1,,,Rio de janeiro
Ana clara,2024-04-24,Masculino,Cadeira,50.0,3,,01:53:00,Porto alegre
Pedro alves,2023-08-05,Masculino,Cadeira,120.0,0,120,,Porto alegre
João silva,2024-07-23,,Monitor,1200.0,3,1600,01:40:51,Belo horizonte
Carlos lima,2024-11-20,Masculino,Cadeira,800.0,3,100,00:02:10,Porto alegre
Maria souza,2024-06-20,Masculino,Mouse,3500.0,0,3500,,Porto alegre
João silva,2023-07-05,,Teclado,120.0,0,10500,,Belo horizonte
Maria souza,2024-02-16,Masculino,Monitor,120.0,1,,,Belo horizonte
Pedro alves,2024-09-12,Masculino,Teclado,120.0,1,,,São paulo
João silva,2024-08-19,Masculino,Cadeira,3500.0,0,,,Belo horizonte
Pedro alves,2024-08-15,,Monitor,1200.0,3,,02:37:26,Porto alegre
Pedro alves,2024-06-14,,Cadeira,3500.0,3,240,00:59:36,Belo horizonte
Pedro alves,2024-01-24,Masculino,Notebook,120.0,0,6952,,Porto alegre
Maria souza,2024-03-16,Masculino,Mouse,120.0,3,10500,01:44:48,Porto alegre
Pedro alves,2024-07-02,Masculino,Notebook,1200.0,3,150,00:29:11,São paulo
Pedro alves,2024-01-17,,Cadeira,3500.0,3,,01:22:50,São paulo
Pedro alves,2023-11-11,Masculino,Cadeira,1200.0,3,7000,00:51:48,Belo horizonte
Pedro alves,0023-11-06,Masculino,Cadeira,120.0,2,100,0:00:46,Curitiba
Carlos lima,0024-01-04,Masculino,Teclado,50.0,2,2400,0:01:53,Rio de janeiro
João silva,0023-07-07,Masculino,Notebook,800.0,1,240,,Curitiba
João silva,0023-12-13,,Monitor,3500.0,3,1600,01:31:46,Porto alegre
Ana clara,0023-06-03,,Teclado,120.0,2,100,0:02:49,Porto alegre
Ana clara,2023-01-07,Masculino,Monitor,1200.0,0,,,São paulo
Ana clara,2023-10-03,Masculino,Notebook,50.0,0,100,,Curitiba
Ana clara,0023-02-17,,Teclado,3500.0,0,3500,,Belo horizonte
Ana clara,2023-04-06,Masculino,Monitor,800.0,3,157,01:54:00,Porto alegre
Ana clara,2023-02-18,Masculino,Monitor,3500.0,1,3500,,Belo horizonte
Carlos lima,2024-04-05,,Teclado,800.0,0,800,,Belo horizonte
Ana clara,2023-09-17,Masculino,Mouse,120.0,0,150,,Porto alegre
Ana clara,2024-12-27,Masculino,Teclado,3500.0,0,50,,Rio de janeiro
Ana clara,2024-09-20,,Notebook,120.0,3,7000,00:46:48,Porto alegre
Ana clara,2023-03-19,Masculino,Cadeira,1200.0,2,2400,0:02:12,Porto alegre
Maria souza,0024-05-01,Masculino,Teclado,1200.0,2,1600,0:00:31,Curitiba
Carlos lima,2023-04-17,,Notebook,3500.0,2,,0:01:31,Curitiba
Carlos lima,2023-05-25,,Teclado,50.0,3,2400,01:14:22,Curitiba
Carlos lima,2024-08-14,Masculino,Notebook,1200.0,2,10493,0:02:06,Rio de janeiro
Ana clara,2023-04-13,Masculino,Teclado,3500.0,2,,0:02:29,Rio de janeiro
Pedro alves,0023-10-11,Masculino,Mouse,3500.0,2,,0:02:38,Belo horizonte
João silva,2023-12-11,,Teclado,1200.0,2,120,0:02:50,Curitiba
João silva,2023-12-22,Masculino,Mouse,3500.0,1,120,,São paulo
João silva,2023-05-16,Masculino,Teclado,1200.0,2,120,0:01:46,Curitiba
Carlos lima,2023-05-11,,Mouse,120.0,1,2400,,Porto alegre
Ana clara,2023-07-27,Masculino,Cadeira,120.0,0,50,,Curitiba
Pedro alves,0024-03-03,,Notebook,120.0,2,2400,0:02:18,Porto alegre
Carlos lima,0024-12-16,Masculino,Mouse,120.0,2,2400,0:00:12,Belo horizonte
Ana clara,2023-08-07,,Teclado,50.0,2,387,0:00:28,Belo horizonte
Ana clara,0024-02-14,,Cadeira,800.0,0,360,,Porto alegre
Carlos lima,2023-10-04,Masculino,Notebook,800.0,0,2357,,Belo horizonte
Ana clara,0023-02-03,Masculino,Notebook,3500.0,2,53,0:00:57,São paulo
Pedro alves,2023-04-16,Masculino,Teclado,3500.0,3,360,00:19:41,Curitiba
Carlos lima,2023-04-16,Masculino,Cadeira,3500.0,2,244,0:03:52,Curitiba
Carlos lima,2024-04-01,Masculino,Cadeira,120.0,2,7000,0:02:55,Rio de janeiro
Maria souza,0024-06-25,,Mouse,3500.0,2,,0:01:32,Curitiba
Carlos lima,2024-06-28,Masculino,Monitor,50.0,2,,0:03:18,Belo horizonte
Carlos lima,0024-01-08,,Teclado,3500.0,1,3500,,Porto alegre
Maria souza,0023-07-02,Masculino,Mouse,50.0,2,120,0:02:09,Belo horizonte
