id_venda,data_venda,cliente,genero,produto,preco,quantidade,total,tempo_entrega,cidade
2216,2024-11-23,Maria Souza,f,Monitor,800,2,,0h 23m,Rio de Janeiro
2217,2023-06-03, Pedro Alves ,F,Cadeira,"R$ 3.500,00",2,1600,3h 16m,São Paulo
2218,26-03-2023,Maria Souza,f,Cadeira,"R$ 50,00",1,,,Rio de Janeiro
2219,17-04-2023,Maria Souza,F,Monitor,1200,3,2400,2:39:26,São Paulo
2220,13/08/23,Maria Souza,Feminino,Mouse,120,1,1200,119m,Belo Horizonte
2221,18/12/24, João Silva ,F,Monitor,800,1,3500,,Curitiba
2222,24/11/24, João Silva ,f,Mouse,R$120,1,1200,2:55:15,Curitiba
2223,2024-05-09,Carlos Lima,M,Notebook,"R$ 120,00",3,10500,27m,Curitiba
2224,2024-08-08,,f,Mouse,R$1200,1,800,2:00:02,Porto Alegre
2225,2023/10/21,Maria Souza,Feminino,Teclado,R$120,2,1600,,Curitiba
2226,2024/02/20, João Silva ,F,Cadeira,"R$ 120,00",2,240,,Curitiba
2227,23/03/24, João Silva ,F,Mouse,1200,2,,0:00:02,Curitiba
2228,2024/06/22,Carlos Lima,Feminino,Mouse,R$120,1,,0:52:12,São Paulo
2229,17-10-2023,,Feminino,Mouse,120,1,800,2h 47m,Porto Alegre
2230,04-01-2023, Pedro Alves ,M,Monitor,R$800,1,800,,Curitiba
2231,09-12-2023,Ana Clara,M,Monitor,"R$ 120,00",2,100,3h 10m,Porto Alegre
2232,14/06/23,,,Monitor,R$50,3,10500,,Rio de Janeiro
2233,2023/12/24,Ana Clara,m,Notebook,R$3500,3,3600,2:28:03,Porto Alegre
2234,2024/04/23,Maria Souza,,Cadeira,"R$ 800,00",2,6998,0:06:34,Belo Horizonte
2235,2024-09-22, João Silva ,m,Notebook,800,1,3500,11m,Curitiba
2236,2023-05-06, Pedro Alves ,MASCULINO,Notebook,"R$ 800,00",2,7036,46m,Belo Horizonte
2237,2023-08-05,Carlos Lima,F,Monitor,50,3,3600,0h 57m,Porto Alegre
2238,2024-10-13,Carlos Lima,M,Teclado,"R$ 50,00",1,120,1h 24m,Porto Alegre
2239,16-01-2023, João Silva ,M,Mouse,"R$ 120,00",3,3600,1h 47m,Rio de Janeiro
2240,04-07-2023,,M,Monitor,50,3,,0:01:48,São Paulo
2241,08/12/23, João Silva ,M,Monitor,50,1,3500,1h 25m,São Paulo
2242,2023/07/12,Ana Clara,m,Mouse,"R$ 800,00",1,3500,118m,Belo Horizonte
2243,2024-07-20, João Silva ,,Notebook,1200,3,3600,2h 50m,Belo Horizonte
2244,26/01/23,Ana Clara,Feminino,Mouse,R$800,2,,1:21:02,Curitiba
2245,2024/10/28, Pedro Alves ,,Teclado,800,1,50,3h 31m,Belo Horizonte
2246,01/08/24,Carlos Lima,MASCULINO,Teclado,R$800,2,7000,0h 0m,Belo Horizonte
2247,10/12/23, João Silva ,F,Cadeira,R$1200,2,7000,63m,Curitiba
2248,19-08-2023,Ana Clara,m,Notebook,"R$ 1.200,00",3,2400,0:07:15,Porto Alegre
2249,2024/06/12,,F,Cadeira,"R$ 800,00",1,3500,1h 42m,São Paulo
2250,2023/01/03,Ana Clara,,Cadeira,R$1200,2,100,1h 40m,São Paulo
2251,15-09-2023,,M,Mouse,120,2,7000,,São Paulo
2252,2023/06/12,Maria Souza,Masculino,Mouse,800,1,1200,,Belo Horizonte
2253,2024-08-12, João Silva ,F,Mouse,3500,3,3600,31m,Belo Horizonte
2254,2023/06/14,,MASCULINO,Teclado,800,3,150,,Rio de Janeiro
2255,10/12/23,Maria Souza,Masculino,Cadeira,"R$ 120,00",1,3476,1h 13m,Belo Horizonte
2256,06-05-2024, Pedro Alves ,,Cadeira,3500,3,,,Curitiba
2257,2024/12/12,Carlos Lima,f,Monitor,3500,2,,174m,Rio de Janeiro
2258,2023/03/15, João Silva ,,Cadeira,"R$ 120,00",1,50,,Rio de Janeiro
2259,2024/04/12,Ana Clara,M,Mouse,"R$ 50,00",2,2400,82m,Belo Horizonte
2260,11-06-2023,,F,Mouse,"R$ 3.500,00",2,240,,Belo Horizonte
2261,2024-10-07,Carlos Lima,m,Notebook,R$3500,2,240,2:35:40,São Paulo
2262,15-02-2023,Maria Souza,MASCULINO,Monitor,"R$ 800,00",1,50,1h 45m,Rio de Janeiro
2263,2024-12-01,Carlos Lima,f,Teclado,R$50,3,10511,,Belo Horizonte
2264,02/11/23,Carlos Lima,,Mouse,800,3,150,2:15:14,Curitiba
2265,01/11/23,Ana Clara,f,Monitor,3500,3,360,,Belo Horizonte
2266,22/05/24, João Silva ,MASCULINO,Notebook,120,1,,0h 8m,Porto Alegre
2267,23-11-2024,Ana Clara,MASCULINO,Notebook,120,1,120,1:25:10,São Paulo
2268,15-01-2023,Carlos Lima,MASCULINO,Notebook,800,3,,1h 57m,Belo Horizonte
2269,2024/11/10,Maria Souza,M,Notebook,"R$ 50,00",2,240,,Belo Horizonte
2270,2024/05/23,Ana Clara,Masculino,Monitor,"R$ 3.500,00",3,2400,0h 49m,Belo Horizonte
2271,2024-09-05,Carlos Lima,Feminino,Cadeira,R$50,3,3600,0:53:48,Porto Alegre
2272,2024-04-17,Maria Souza,Masculino,Teclado,R$800,1,3500,18m,Porto Alegre
2273,2024-02-09,,Feminino,Teclado,1200,3,3565,2h 48m,Porto Alegre
2274,04/07/23,Ana Clara,m,Teclado,"R$ 800,00",2,240,2h 36m,Curitiba
2275,2023/04/09,Carlos Lima,Masculino,Mouse,"R$ 1.200,00",1,,,São Paulo
2276,2024-04-05, João Silva ,Feminino,Cadeira,R$3500,2,2400,159m,Rio de Janeiro
2277,19/11/24,Carlos Lima,M,Notebook,"R$ 50,00",3,345,72m,Curitiba
2278,2024/12/26, João Silva ,Feminino,Teclado,R$3500,3,10500,1h 11m,Rio de Janeiro
2279,02/01/23, João Silva ,f,Notebook,R$50,2,1600,1:24:32,Rio de Janeiro
2280,2024/08/24,Carlos Lima,MASCULINO,Mouse,R$800,1,,,Rio de Janeiro
2281,21/09/24,,m,Notebook,R$3500,2,2400,67m,Curitiba
2282,2023-06-14, João Silva ,f,Mouse,R$120,3,,128m,Belo Horizonte
2283,10/12/23,Ana Clara,MASCULINO,Mouse,"R$ 120,00",2,2380,,São Paulo
2284,12/05/24,Carlos Lima,Feminino,Notebook,"R$ 3.500,00",3,3600,0:33:52,Rio de Janeiro
2285,2024/01/25,Maria Souza,m,Mouse,R$50,1,3500,2h 3m,São Paulo
2286,2024/01/24,Ana Clara,f,Notebook,"R$ 800,00",3,,2:56:43,São Paulo
2287,2024/04/11, Pedro Alves ,m,Teclado,1200,2,100,0:30:49,Porto Alegre
2288,2024-01-24,Carlos Lima,Feminino,Notebook,1200,2,1600,0:46:44,Curitiba
2289,2024/05/02, João Silva ,m,Mouse,R$50,3,,0:54:55,São Paulo
2290,02/01/23, Pedro Alves ,f,Monitor,"R$ 1.200,00",3,,3h 39m,São Paulo
2291,10/10/23, João Silva ,MASCULINO,Cadeira,R$3500,1,3500,2h 3m,Rio de Janeiro
2292,09-10-2023,Carlos Lima,M,Mouse,R$800,3,360,0:00:49,Porto Alegre
2293,2023/11/18,,Feminino,Mouse,3500,2,240,2h 17m,Curitiba
2294,07/10/24,Maria Souza,m,Monitor,"R$ 1.200,00",1,800,1h 29m,Rio de Janeiro
2295,07-09-2023,Carlos Lima,Feminino,Monitor,"R$ 120,00",2,100,2h 12m,Rio de Janeiro
2296,2024/10/04, João Silva ,M,Monitor,800,3,10500,169m,Porto Alegre
2297,16/05/24,,MASCULINO,Teclado,3500,2,7000,132m,Belo Horizonte
2298,14-07-2024, Pedro Alves ,F,Notebook,R$120,1,1200,1h 54m,Rio de Janeiro
2299,26/06/24, Pedro Alves ,Masculino,Mouse,"R$ 50,00",2,,20m,Belo Horizonte
2300,2024/08/21,Ana Clara,,Mouse,3500,2,240,,Rio de Janeiro
2301,18/12/23,Carlos Lima,,Mouse,"R$ 800,00",2,2382,1h 6m,Belo Horizonte
2302,2023/05/19,,f,Cadeira,R$800,2,,2h 5m,Rio de Janeiro
2303,2024-07-08,Maria Souza,Feminino,Notebook,"R$ 3.500,00",1,1200,2:36:01,Curitiba
2304,2023/04/20,Maria Souza,Feminino,Mouse,"R$ 1.200,00",3,340,3h 20m,Porto Alegre
2305,08/02/24, João Silva ,f,Monitor,R$120,2,1600,2h 36m,Rio de Janeiro
2306,2024/02/28, Pedro Alves ,MASCULINO,Monitor,3500,2,2400,0:09:31,Curitiba
2307,11-09-2024,Ana Clara,F,Teclado,R$1200,2,100,1:20:06,Curitiba
2308,2024-06-15,,Masculino,Mouse,"R$ 50,00",3,10500,,Porto Alegre
2309,2023/11/03, João Silva ,F,Teclado,R$50,1,50,,Curitiba
2310,11-02-2023, Pedro Alves ,,Mouse,3500,3,2400,3h 3m,Rio de Janeiro
2311,2024/12/03, Pedro Alves ,MASCULINO,Notebook,"R$ 120,00",1,50,87m,São Paulo
2312,2024/05/06, João Silva ,Feminino,Notebook,"R$ 120,00",2,1600,1h 16m,Rio de Janeiro
2313,27/05/24,Ana Clara,,Monitor,R$3500,2,100,3h 34m,São Paulo
2314,21-05-2023,,Masculino,Notebook,R$3500,3,3600,,Curitiba
2315,2024-05-18, Pedro Alves ,m,Teclado,"R$ 1.200,00",1,1171,2h 58m,Belo Horizonte
2316,15/11/24, João Silva ,,Teclado,"R$ 50,00",1,3500,1h 11m,Porto Alegre
2317,2024/05/20,,f,Monitor,120,2,2400,1h 48m,Porto Alegre
2318,23/02/23,Ana Clara,,Teclado,50,3,,23m,Curitiba
2319,2024-07-24,,F,Monitor,1200,3,,1:07:18,São Paulo
2320,03-09-2024, Pedro Alves ,Masculino,Mouse,R$3500,2,1562,,Curitiba
2321,2024/09/16,,Masculino,Monitor,50,3,360,,Rio de Janeiro
2322,10/10/24,,Masculino,Cadeira,R$120,1,800,,Belo Horizonte
2323,2023-04-02,Maria Souza,,Teclado,R$1200,2,279,162m,Rio de Janeiro
2324,05/06/23,Maria Souza,m,Cadeira,R$800,3,,2:04:36,Belo Horizonte
2325,2024-06-04,Carlos Lima,M,Mouse,"R$ 120,00",2,,178m,Curitiba
2326,27/09/23,Maria Souza,F,Teclado,"R$ 3.500,00",3,10500,,São Paulo
2327,2023/09/21,Carlos Lima,MASCULINO,Mouse,R$800,1,1200,1h 2m,Curitiba
2328,2024/10/28, Pedro Alves ,Feminino,Teclado,"R$ 3.500,00",1,850,36m,Curitiba
2329,08/09/23,Maria Souza,,Mouse,"R$ 800,00",1,,0h 20m,Rio de Janeiro
2330,05/08/23,,MASCULINO,Notebook,"R$ 50,00",1,3527,0h 25m,Rio de Janeiro
2331,2024-10-22,Maria Souza,F,Teclado,"R$ 1.200,00",1,800,77m,Rio de Janeiro
2332,28-03-2024, João Silva ,m,Cadeira,R$800,1,41,,Porto Alegre
2333,2024/06/16,Maria Souza,m,Notebook,R$3500,1,,3h 23m,São Paulo
2334,22-10-2024,,Feminino,Notebook,R$50,1,1200,75m,Rio de Janeiro
2335,2023/07/28,Maria Souza,f,Cadeira,"R$ 50,00",1,120,171m,São Paulo
2336,11-07-2024, João Silva ,M,Notebook,1200,3,2400,106m,São Paulo
2337,12/02/24, Pedro Alves ,Feminino,Mouse,R$800,3,,2:25:32,Porto Alegre
2338,2024/07/27,Ana Clara,M,Monitor,R$3500,1,800,91m,São Paulo
2339,2024-12-17,Maria Souza,Feminino,Notebook,"R$ 1.200,00",2,100,0:15:48,Curitiba
2340,16/06/23, Pedro Alves ,F,Mouse,50,2,1600,143m,São Paulo
2341,02-11-2023, João Silva ,m,Monitor,R$800,3,3600,0:43:19,Rio de Janeiro
2342,2024-09-15,,M,Cadeira,3500,2,100,0h 46m,São Paulo
2343,23-07-2023,Ana Clara,m,Cadeira,"R$ 800,00",3,125,1:41:55,Rio de Janeiro
2344,04/07/24, Pedro Alves ,f,Notebook,R$3500,2,,1h 50m,Curitiba
2345,28-07-2023,Maria Souza,f,Monitor,"R$ 800,00",2,,13m,Curitiba
2346,20-09-2023,,f,Notebook,"R$ 3.500,00",1,11,0h 52m,Belo Horizonte
2347,05/05/24,Ana Clara,f,Cadeira,50,1,3500,10m,Belo Horizonte
2348,04-04-2024,Maria Souza,M,Cadeira,R$120,1,,29m,Rio de Janeiro
2349,2023-12-12,,Feminino,Teclado,50,3,150,2:00:44,Curitiba
2350,2023/07/18, Pedro Alves ,Masculino,Mouse,R$800,1,3500,1h 0m,Porto Alegre
2351,18-03-2023,Ana Clara,Masculino,Teclado,"R$ 3.500,00",2,2400,0:55:47,São Paulo
2352,27-10-2024,Ana Clara,F,Monitor,R$1200,1,,122m,Rio de Janeiro
2353,2023-07-03,,Feminino,Mouse,120,3,360,167m,Porto Alegre
2354,2023-07-12, Pedro Alves ,Masculino,Mouse,"R$ 120,00",2,240,151m,São Paulo
2355,2024/02/12, João Silva ,m,Teclado,120,2,1615,2h 40m,Curitiba
2356,21/09/24,Maria Souza,,Mouse,50,2,6954,,Porto Alegre
2357,2024/08/26,Ana Clara,f,Monitor,120,3,,0:17:49,Rio de Janeiro
2358,04/10/23,Maria Souza,Feminino,Monitor,R$3500,1,120,60m,Rio de Janeiro
2359,2023/11/14,Maria Souza,M,Notebook,1200,2,1600,147m,Belo Horizonte
2360,14/12/24,Ana Clara,M,Teclado,"R$ 1.200,00",1,1200,1h 21m,Porto Alegre
2361,2024-09-18,,m,Notebook,"R$ 1.200,00",2,203,118m,Rio de Janeiro
2362,2024-06-20, João Silva ,,Monitor,"R$ 120,00",1,50,70m,São Paulo
2363,2024-06-02,Carlos Lima,MASCULINO,Cadeira,"R$ 800,00",3,2400,0h 41m,Curitiba
2364,17-07-2024,,MASCULINO,Mouse,"R$ 3.500,00",1,50,52m,Rio de Janeiro
2365,24-06-2024,Ana Clara,Feminino,Teclado,"R$ 800,00",1,,,Curitiba
2366,2024/02/03,,Feminino,Monitor,"R$ 120,00",2,1600,2h 49m,Curitiba
2367,2023-12-22,Maria Souza,F,Notebook,120,2,7000,0:04:05,São Paulo
2368,2024/08/19,Ana Clara,MASCULINO,Cadeira,1200,2,240,1:40:38,Rio de Janeiro
2369,2024-02-21, João Silva ,M,Monitor,3500,3,369,93m,Porto Alegre
2370,2024/01/27, João Silva ,,Monitor,R$800,1,3500,108m,Curitiba
2371,03/05/23, Pedro Alves ,Masculino,Notebook,"R$ 3.500,00",2,,1h 6m,Belo Horizonte
2372,2024/08/10,Maria Souza,Feminino,Mouse,120,1,1205,,Belo Horizonte
2373,2024-08-24,Carlos Lima,m,Monitor,R$800,2,1600,0h 49m,São Paulo
2374,23/05/24,Ana Clara,F,Cadeira,1200,3,150,3h 53m,Porto Alegre
2375,21/03/24, João Silva ,m,Cadeira,"R$ 800,00",2,2400,,Rio de Janeiro
2376,12-04-2024,Ana Clara,f,Cadeira,50,3,,2:36:13,Porto Alegre
2377,2024-01-10,Maria Souza,M,Notebook,R$800,3,3636,1h 59m,Curitiba
2378,2023/06/02,Maria Souza,f,Cadeira,"R$ 120,00",1,64,,Belo Horizonte
2379,2024-05-18,Ana Clara,Masculino,Monitor,"R$ 800,00",1,50,3h 46m,Curitiba
2380,02-12-2023,,m,Teclado,3500,1,1200,90m,São Paulo
2381,2024-05-05,Carlos Lima,M,Cadeira,R$3500,1,1200,0:53:05,São Paulo
2382,2024/02/13,,m,Notebook,R$120,1,50,2h 51m,São Paulo
2383,08/05/24,Ana Clara,m,Teclado,800,3,360,,Rio de Janeiro
2384,11/07/24, Pedro Alves ,m,Teclado,3500,1,,,São Paulo
2385,2023-08-10,,f,Teclado,R$1200,3,10500,0:04:05,Curitiba
2386,28-03-2023,Maria Souza,F,Mouse,R$3500,3,360,,São Paulo
2387,2023/11/08, Pedro Alves ,Masculino,Monitor,"R$ 120,00",2,7000,,Rio de Janeiro
2388,2024/10/14,Maria Souza,m,Monitor,R$800,1,1200,,Curitiba
2389,21-04-2024,Carlos Lima,Masculino,Mouse,"R$ 50,00",1,100,,Porto Alegre
2390,22-02-2023, Pedro Alves ,Masculino,Teclado,R$800,3,360,3h 52m,São Paulo
2391,2023/12/04,Ana Clara,m,Monitor,1200,2,240,2h 14m,Curitiba
2392,28-12-2024, João Silva ,f,Notebook,800,1,50,0h 55m,Porto Alegre
2393,2023/05/05,Ana Clara,f,Notebook,R$120,1,1185,0h 5m,Rio de Janeiro
2394,2024/03/04,Ana Clara,Feminino,Cadeira,"R$ 120,00",1,,1h 49m,Curitiba
2395,27-09-2023,Maria Souza,Feminino,Notebook,120,2,,1h 20m,Rio de Janeiro
2396,13-10-2023, Pedro Alves ,M,Monitor,R$120,3,,,Rio de Janeiro
2397,2023-05-04, Pedro Alves ,f,Mouse,"R$ 1.200,00",1,1200,,Porto Alegre
2398,2023-03-02,Maria Souza,Feminino,Monitor,"R$ 120,00",1,800,,Porto Alegre
2399,19-05-2023,Maria Souza,F,Teclado,R$1200,2,7000,,Curitiba
2400,2024-10-03,Carlos Lima,Feminino,Monitor,"R$ 120,00",1,800,2h 28m,Curitiba
2401,16/07/24,Maria Souza,m,Cadeira,R$800,1,1214,0:58:46,São Paulo
2402,16-01-2023,Maria Souza,MASCULINO,Notebook,R$50,2,7000,3h 25m,Porto Alegre
2403,25-01-2024,Ana Clara,MASCULINO,Teclado,R$1200,2,225,,Curitiba
2404,2024-02-06,,MASCULINO,Notebook,R$1200,3,2400,177m,Porto Alegre
2405,10/04/24,Carlos Lima,MASCULINO,Notebook,R$120,3,150,,Porto Alegre
2406,2023/06/21, João Silva ,f,Teclado,R$50,1,,0:45:57,Curitiba
2407,08/06/24,Ana Clara,Feminino,Monitor,"R$ 800,00",2,1550,,São Paulo
2408,04-07-2023, Pedro Alves ,f,Notebook,50,1,,73m,São Paulo
2409,16-04-2023, Pedro Alves ,M,Cadeira,120,2,,0h 7m,Porto Alegre
2410,2023/05/06,Carlos Lima,,Monitor,800,3,3600,87m,Rio de Janeiro
2411,2023-06-17,,Masculino,Monitor,R$800,2,1600,2h 58m,Rio de Janeiro
2412,16/03/23, Pedro Alves ,m,Monitor,R$800,1,25,0:51:30,Curitiba
2413,2024-05-20,Carlos Lima,MASCULINO,Monitor,1200,2,7000,0:07:31,Belo Horizonte
2414,2024/11/08, Pedro Alves ,,Notebook,120,3,,,Porto Alegre
2415,2023/01/24, Pedro Alves ,Feminino,Monitor,50,3,150,,Rio de Janeiro
2416,2023-06-21,Ana Clara,F,Mouse,R$1200,1,50,175m,Belo Horizonte
2417,01/01/24,Ana Clara,,Notebook,R$50,3,2400,81m,Porto Alegre
2418,2023-07-21, João Silva ,,Monitor,800,1,1200,1:45:53,Belo Horizonte
2419,2023/11/19, Pedro Alves ,Feminino,Mouse,"R$ 800,00",3,10500,2:31:38,Rio de Janeiro
2420,18/09/24,Carlos Lima,F,Mouse,"R$ 50,00",1,120,15m,Porto Alegre
2421,2023-06-27, João Silva ,MASCULINO,Cadeira,800,1,,3h 41m,Rio de Janeiro
2422,2024-07-17, João Silva ,MASCULINO,Cadeira,50,3,10532,2h 4m,Rio de Janeiro
2423,2024-06-17,Carlos Lima,m,Mouse,"R$ 800,00",1,800,,São Paulo
2424,21/06/23,,Feminino,Cadeira,R$3500,2,,,Porto Alegre
2425,16-05-2023,Ana Clara,Feminino,Monitor,"R$ 120,00",1,1200,171m,Rio de Janeiro
2426,2023/08/23,,MASCULINO,Cadeira,"R$ 1.200,00",1,846,142m,Rio de Janeiro
2427,2023/06/26,Ana Clara,MASCULINO,Monitor,120,2,1600,17m,Belo Horizonte
2428,2023/07/18,Ana Clara,M,Monitor,"R$ 50,00",2,1600,,Curitiba
2429,08/09/24, João Silva ,m,Mouse,1200,3,,2:36:54,São Paulo
2430,17/03/24,,m,Monitor,800,2,6950,1h 53m,São Paulo
2431,2024/08/21,Carlos Lima,,Teclado,R$50,2,1600,,Porto Alegre
2432,12-12-2024,Carlos Lima,Feminino,Notebook,"R$ 800,00",1,3500,3h 15m,Belo Horizonte
2433,15-07-2024, João Silva ,Feminino,Monitor,1200,3,2400,1h 15m,Porto Alegre
2434,04/10/24,Carlos Lima,MASCULINO,Notebook,800,2,7000,59m,Rio de Janeiro
2435,2023-01-02,,f,Notebook,120,1,800,0:24:55,Rio de Janeiro
2436,18-12-2024,Ana Clara,m,Teclado,"R$ 800,00",2,,,São Paulo
2437,13-02-2023,,F,Mouse,3500,3,3554,78m,Belo Horizonte
2438,14-01-2024,Carlos Lima,Feminino,Notebook,"R$ 800,00",1,1200,,Belo Horizonte
2439,25-04-2023,Carlos Lima,m,Cadeira,R$50,3,150,1h 27m,Porto Alegre
2440,14/10/23,Carlos Lima,m,Mouse,"R$ 1.200,00",2,,66m,Belo Horizonte
2441,2024/05/09,,Feminino,Notebook,"R$ 1.200,00",2,240,1:48:29,Porto Alegre
2442,2024-12-26,Maria Souza,,Notebook,1200,1,,1h 42m,Curitiba
2443,12/10/24,,,Notebook,800,3,3637,2:36:13,Rio de Janeiro
2444,02-05-2024,Carlos Lima,Feminino,Teclado,R$50,1,,,São Paulo
2445,2023/09/02,Maria Souza,F,Cadeira,1200,2,2400,23m,Rio de Janeiro
2446,12/11/24,,f,Mouse,"R$ 50,00",3,147,,Belo Horizonte
2447,2023/03/25,,,Monitor,R$800,1,1200,90m,Curitiba
2448,2023-02-23,Maria Souza,,Monitor,R$800,2,7000,1:40:43,São Paulo
2449,2024-06-26,Maria Souza,F,Mouse,R$3500,3,2400,0:46:13,Rio de Janeiro
2450,09/01/24,Maria Souza,m,Teclado,1200,3,3600,2h 26m,Curitiba
2451,26-08-2024, Pedro Alves ,,Notebook,1200,1,800,100m,São Paulo
2452,20/06/23,,Masculino,Notebook,R$1200,1,1174,0:40:19,São Paulo
2453,13-03-2023,Carlos Lima,,Monitor,"R$ 50,00",3,360,148m,Rio de Janeiro
2454,2024/12/20,,Feminino,Monitor,50,2,7000,,Belo Horizonte
2455,23-10-2023,Ana Clara,,Teclado,"R$ 120,00",3,3556,,Rio de Janeiro
2456,2023/07/20,,Feminino,Teclado,R$800,2,,0:43:48,Rio de Janeiro
2457,17-03-2024,Maria Souza,,Notebook,1200,1,800,55m,Curitiba
2458,2024/01/21, João Silva ,Masculino,Monitor,50,1,800,0h 33m,São Paulo
2459,2024-12-24,Carlos Lima,m,Mouse,R$120,1,3500,,Belo Horizonte
2460,07-11-2024,,m,Cadeira,800,1,800,72m,Rio de Janeiro
2461,2023/04/28, Pedro Alves ,,Monitor,"R$ 3.500,00",1,,1:10:21,São Paulo
2462,26/09/24, João Silva ,MASCULINO,Cadeira,R$800,1,800,2:59:12,São Paulo
2463,2023/12/07,Ana Clara,,Mouse,"R$ 1.200,00",1,,0:21:37,São Paulo
2464,26/03/23,Maria Souza,F,Teclado,50,3,2400,97m,São Paulo
2465,22-02-2023, João Silva ,f,Notebook,3500,2,240,0h 8m,Rio de Janeiro
2466,2023-09-12,Carlos Lima,m,Monitor,1200,1,3469,0h 30m,Curitiba
2467,2023-10-08,Carlos Lima,MASCULINO,Notebook,R$120,1,,0:19:22,Rio de Janeiro
2468,27/08/23, João Silva ,F,Monitor,1200,2,,0:08:20,Rio de Janeiro
2469,07/10/23,Maria Souza,MASCULINO,Teclado,R$3500,3,360,96m,São Paulo
2470,2023/08/21,Maria Souza,Masculino,Notebook,1200,3,10450,0:08:55,São Paulo
2471,02/07/23,Maria Souza,m,Cadeira,"R$ 1.200,00",1,120,,São Paulo
2472,19/04/23, Pedro Alves ,M,Mouse,50,2,7000,24m,Porto Alegre
2473,2023-07-22,Maria Souza,F,Teclado,800,2,100,,Porto Alegre
2474,02/06/24,Ana Clara,f,Cadeira,"R$ 120,00",1,103,166m,Belo Horizonte
2475,06-03-2023, João Silva ,,Cadeira,"R$ 800,00",1,50,,São Paulo
2476,10-10-2024,Carlos Lima,Masculino,Monitor,1200,2,2400,,Porto Alegre
2477,07/02/23,,MASCULINO,Mouse,"R$ 120,00",2,1621,,São Paulo
2478,26-01-2024, João Silva ,m,Mouse,1200,3,10500,53m,Curitiba
2479,18-07-2024,Ana Clara,Masculino,Mouse,3500,1,120,1:11:46,Rio de Janeiro
2480,03-04-2023,Ana Clara,Masculino,Mouse,"R$ 3.500,00",1,800,2:40:41,São Paulo
2481,20-07-2024, João Silva ,M,Notebook,"R$ 50,00",1,50,,Porto Alegre
2482,2023/12/05,Maria Souza,F,Monitor,120,3,330,1:17:25,Belo Horizonte
2483,2024/03/07, Pedro Alves ,Feminino,Cadeira,R$1200,2,100,118m,Curitiba
2484,02/10/23,,MASCULINO,Mouse,R$120,3,362,,Porto Alegre
2485,17/11/23, João Silva ,M,Monitor,"R$ 1.200,00",1,1200,0:13:06,Porto Alegre
2486,2024-04-15, Pedro Alves ,m,Notebook,R$800,3,,118m,Belo Horizonte
2487,05/07/24,Carlos Lima,m,Monitor,R$120,3,150,1:33:42,Belo Horizonte
2488,2024/10/07, Pedro Alves ,m,Cadeira,"R$ 3.500,00",3,2400,2:08:09,São Paulo
2489,2024-08-16,,Feminino,Teclado,120,2,7000,1h 11m,São Paulo
2490,2024-05-17,Maria Souza,m,Teclado,"R$ 1.200,00",1,1200,,São Paulo
2491,20/10/23, Pedro Alves ,Feminino,Notebook,R$1200,3,10508,2:15:47,Curitiba
2492,14-09-2023,,F,Cadeira,120,2,7000,,Belo Horizonte
2493,2023-07-08,Maria Souza,f,Teclado,R$120,1,1200,0:32:40,Porto Alegre
2494,2024-01-12,Carlos Lima,f,Teclado,120,2,7000,,São Paulo
2495,2024-04-20,Carlos Lima,Masculino,Monitor,50,1,800,1:58:22,Curitiba
2496,2023/06/19,Maria Souza,,Notebook,R$120,3,378,2:14:30,Porto Alegre
2497,22/12/24, Pedro Alves ,F,Mouse,1200,3,,0:52:41,Rio de Janeiro
2498,2023-07-05,Maria Souza,Masculino,Notebook,"R$ 120,00",3,,,São Paulo
2499,01/03/23, Pedro Alves ,M,Teclado,R$50,1,800,1h 10m,Belo Horizonte
2500,11-12-2024,,Masculino,Teclado,"R$ 1.200,00",2,,0:49:14,Rio de Janeiro
2501,27/04/24,Ana Clara,m,Cadeira,"R$ 800,00",3,360,,Curitiba
2502,13/08/23, João Silva ,MASCULINO,Cadeira,50,2,,0:45:10,Belo Horizonte
2503,2023/12/14, Pedro Alves ,Masculino,Cadeira,R$800,3,2400,0h 20m,Porto Alegre
2504,2023-02-05,Maria Souza,m,Teclado,"R$ 1.200,00",1,93,136m,Rio de Janeiro
2505,27/05/23,Ana Clara,,Mouse,1200,1,1200,,Belo Horizonte
2506,2023/06/14,Carlos Lima,M,Notebook,"R$ 1.200,00",2,1600,2h 17m,Belo Horizonte
2507,18/03/23, Pedro Alves ,f,Monitor,1200,3,3600,0h 8m,Porto Alegre
2508,2023-12-24, Pedro Alves ,m,Notebook,1200,3,3600,1h 25m,São Paulo
2509,20-10-2023,Carlos Lima,m,Notebook,R$3500,1,8,2:35:39,Rio de Janeiro
2510,23/01/23,,F,Mouse,"R$ 800,00",1,,151m,São Paulo
2511,2024-04-12, Pedro Alves ,MASCULINO,Mouse,"R$ 120,00",1,800,1:41:24,Curitiba
2512,2024/03/23,Carlos Lima,m,Teclado,800,1,,,Curitiba
2513,14/04/24,Carlos Lima,f,Cadeira,"R$ 800,00",1,1200,2h 47m,Belo Horizonte
2514,2024-12-28, João Silva ,Masculino,Teclado,1200,3,,,Porto Alegre
2515,26-04-2023,,M,Mouse,"R$ 800,00",1,766,125m,Belo Horizonte
2516,03/12/24, Pedro Alves ,Feminino,Notebook,50,3,150,146m,Curitiba
2517,2024/02/23,,,Monitor,R$50,2,,,Belo Horizonte
2518,19/04/23,Ana Clara,F,Monitor,R$120,3,360,0:56:18,Curitiba
2519,2024/11/25,,f,Monitor,R$1200,2,1600,142m,São Paulo
